Time_abs/ps, Signal/nA
  3025.000,     0.036058
  3025.050,     0.031408
  3025.100,     0.024827
  3025.150,     0.020329
  3025.200,     0.015213
  3025.250,     0.015983
  3025.300,     0.011680
  3025.350,     0.006932
  3025.400,     0.002744
  3025.450,     0.000541
  3025.500,    -0.001848
  3025.550,    -0.005030
  3025.600,    -0.009193
  3025.650,    -0.013705
  3025.700,    -0.015047
  3025.750,    -0.015327
  3025.800,    -0.017379
  3025.850,    -0.023133
  3025.900,    -0.029186
  3025.950,    -0.035866
  3026.000,    -0.044284
  3026.050,    -0.062004
  3026.100,    -0.085445
  3026.150,    -0.106749
  3026.200,    -0.133868
  3026.250,    -0.161359
  3026.300,    -0.175731
  3026.350,    -0.171658
  3026.400,    -0.149588
  3026.450,    -0.097973
  3026.500,    -0.023050
  3026.550,     0.073336
  3026.600,     0.172353
  3026.650,     0.253330
  3026.700,     0.295882
  3026.750,     0.287656
  3026.800,     0.236032
  3026.850,     0.150918
  3026.900,     0.044848
  3026.950,    -0.058579
  3027.000,    -0.148655
  3027.050,    -0.219211
  3027.100,    -0.263298
  3027.150,    -0.279093
  3027.200,    -0.273761
  3027.250,    -0.249359
  3027.300,    -0.215905
  3027.350,    -0.183016
  3027.400,    -0.155711
  3027.450,    -0.138536
  3027.500,    -0.132500
  3027.550,    -0.136776
  3027.600,    -0.151593
  3027.650,    -0.170108
  3027.700,    -0.196209
  3027.750,    -0.222611
  3027.800,    -0.239632
  3027.850,    -0.248700
  3027.900,    -0.243684
  3027.950,    -0.229455
  3028.000,    -0.199102
  3028.050,    -0.149763
  3028.100,    -0.085016
  3028.150,    -0.014956
  3028.200,     0.048112
  3028.250,     0.088724
  3028.300,     0.103391
  3028.350,     0.083669
  3028.400,     0.029272
  3028.450,    -0.044737
  3028.500,    -0.124491
  3028.550,    -0.182686
  3028.600,    -0.218317
  3028.650,    -0.234972
  3028.700,    -0.230362
  3028.750,    -0.219599
  3028.800,    -0.211619
  3028.850,    -0.209316
  3028.900,    -0.211920
  3028.950,    -0.213971
  3029.000,    -0.214610
  3029.050,    -0.215832
  3029.100,    -0.217069
  3029.150,    -0.216596
  3029.200,    -0.211333
  3029.250,    -0.199820
  3029.300,    -0.186361
  3029.350,    -0.168984
  3029.400,    -0.151692
  3029.450,    -0.135526
  3029.500,    -0.123031
  3029.550,    -0.108717
  3029.600,    -0.098894
  3029.650,    -0.095513
  3029.700,    -0.097207
  3029.750,    -0.099032
  3029.800,    -0.103761
  3029.850,    -0.111975
  3029.900,    -0.114804
  3029.950,    -0.117892
  3030.000,    -0.115441
  3030.050,    -0.106622
  3030.100,    -0.100369
  3030.150,    -0.095490
  3030.200,    -0.099551
  3030.250,    -0.112355
  3030.300,    -0.129549
  3030.350,    -0.149977
  3030.400,    -0.168652
  3030.450,    -0.183857
  3030.500,    -0.195230
  3030.550,    -0.202230
  3030.600,    -0.205664
  3030.650,    -0.201679
  3030.700,    -0.195088
  3030.750,    -0.188622
  3030.800,    -0.183709
  3030.850,    -0.181131
  3030.900,    -0.181146
  3030.950,    -0.186522
  3031.000,    -0.200462
  3031.050,    -0.214501
  3031.100,    -0.223149
  3031.150,    -0.228412
  3031.200,    -0.231354
  3031.250,    -0.219583
  3031.300,    -0.191255
  3031.350,    -0.142948
  3031.400,    -0.080095
  3031.450,    -0.013551
  3031.500,     0.044178
  3031.550,     0.079757
  3031.600,     0.078728
  3031.650,     0.041488
  3031.700,    -0.027385
  3031.750,    -0.112165
  3031.800,    -0.194063
  3031.850,    -0.259107
  3031.900,    -0.301721
  3031.950,    -0.313855
  3032.000,    -0.300659
  3032.050,    -0.265494
  3032.100,    -0.217136
  3032.150,    -0.162396
  3032.200,    -0.106772
  3032.250,    -0.061394
  3032.300,    -0.024838
  3032.350,    -0.005686
  3032.400,    -0.000840
  3032.450,    -0.003548
  3032.500,    -0.009646
  3032.550,    -0.018375
  3032.600,    -0.023410
  3032.650,    -0.021696
  3032.700,    -0.012916
  3032.750,     0.008842
  3032.800,     0.034643
  3032.850,     0.063494
  3032.900,     0.095171
  3032.950,     0.126120
  3033.000,     0.150197
  3033.050,     0.163666
  3033.100,     0.168128
  3033.150,     0.168922
  3033.201,     0.155464
  3033.251,     0.138990
  3033.301,     0.127352
  3033.351,     0.119881
  3033.401,     0.116649
  3033.451,     0.114399
  3033.501,     0.112856
  3033.551,     0.102357
  3033.601,     0.073887
  3033.651,     0.016241
