Time_abs/ps, Signal/nA
  3025.000,     0.032425
  3025.050,     0.029065
  3025.100,     0.024950
  3025.150,     0.021647
  3025.200,     0.017668
  3025.250,     0.011480
  3025.300,     0.004727
  3025.350,     0.000927
  3025.400,    -0.000102
  3025.450,    -0.000480
  3025.500,    -0.004944
  3025.550,    -0.009742
  3025.600,    -0.011612
  3025.650,    -0.014302
  3025.700,    -0.014415
  3025.750,    -0.014758
  3025.800,    -0.017063
  3025.850,    -0.017965
  3025.900,    -0.019272
  3025.950,    -0.018234
  3026.000,    -0.020894
  3026.050,    -0.023728
  3026.100,    -0.023310
  3026.150,    -0.027934
  3026.200,    -0.025544
  3026.250,    -0.025179
  3026.300,    -0.026231
  3026.350,    -0.027827
  3026.400,    -0.031543
  3026.450,    -0.036498
  3026.500,    -0.041226
  3026.550,    -0.045121
  3026.600,    -0.048081
  3026.650,    -0.048730
  3026.700,    -0.054915
  3026.750,    -0.060352
  3026.800,    -0.066301
  3026.850,    -0.076076
  3026.900,    -0.083306
  3026.950,    -0.095453
  3027.000,    -0.105900
  3027.050,    -0.117406
  3027.100,    -0.132314
  3027.150,    -0.141086
  3027.200,    -0.154028
  3027.250,    -0.168292
  3027.300,    -0.173681
  3027.350,    -0.169770
  3027.400,    -0.154670
  3027.450,    -0.125433
  3027.500,    -0.076852
  3027.550,    -0.026864
  3027.600,     0.023224
  3027.650,     0.060040
  3027.700,     0.074835
  3027.750,     0.061021
  3027.800,     0.021219
  3027.850,    -0.037894
  3027.900,    -0.106569
  3027.950,    -0.168640
  3028.000,    -0.220375
  3028.050,    -0.246602
  3028.100,    -0.262771
  3028.150,    -0.259095
  3028.200,    -0.246879
  3028.250,    -0.225562
  3028.300,    -0.208439
  3028.350,    -0.191596
  3028.400,    -0.174649
  3028.450,    -0.167020
  3028.500,    -0.168420
  3028.550,    -0.175275
  3028.600,    -0.179431
  3028.650,    -0.185565
  3028.700,    -0.192296
  3028.750,    -0.193837
  3028.800,    -0.197016
  3028.850,    -0.193621
  3028.900,    -0.177366
  3028.950,    -0.159089
  3029.000,    -0.136085
  3029.050,    -0.108589
  3029.100,    -0.075540
  3029.150,    -0.044119
  3029.200,    -0.013927
  3029.250,     0.006183
  3029.300,     0.008702
  3029.350,    -0.006142
  3029.400,    -0.041740
  3029.450,    -0.084660
  3029.500,    -0.130466
  3029.550,    -0.169531
  3029.600,    -0.187168
  3029.650,    -0.191739
  3029.700,    -0.188125
  3029.750,    -0.183260
  3029.800,    -0.178515
  3029.850,    -0.172629
  3029.900,    -0.175737
  3029.950,    -0.188410
  3030.000,    -0.196991
  3030.050,    -0.201764
  3030.100,    -0.201551
  3030.150,    -0.197916
  3030.200,    -0.189911
  3030.250,    -0.181408
  3030.300,    -0.172612
  3030.350,    -0.159445
  3030.400,    -0.153456
  3030.450,    -0.139777
  3030.500,    -0.128386
  3030.550,    -0.117098
  3030.600,    -0.114254
  3030.650,    -0.118525
  3030.700,    -0.123665
  3030.750,    -0.130493
  3030.800,    -0.141409
  3030.850,    -0.150969
  3030.900,    -0.162130
  3030.950,    -0.164320
  3031.000,    -0.171386
  3031.050,    -0.172087
  3031.100,    -0.165548
  3031.150,    -0.163172
  3031.200,    -0.166151
  3031.250,    -0.172661
  3031.300,    -0.182886
  3031.350,    -0.195323
  3031.400,    -0.207351
  3031.450,    -0.217691
  3031.500,    -0.216729
  3031.550,    -0.211590
  3031.600,    -0.202344
  3031.650,    -0.193270
  3031.700,    -0.182033
  3031.750,    -0.170689
  3031.800,    -0.159876
  3031.850,    -0.154317
  3031.900,    -0.151840
  3031.950,    -0.153700
  3032.000,    -0.158286
  3032.050,    -0.162755
  3032.100,    -0.166024
  3032.150,    -0.167887
  3032.200,    -0.162188
  3032.250,    -0.153488
  3032.300,    -0.134345
  3032.350,    -0.106506
  3032.400,    -0.076148
  3032.450,    -0.044179
  3032.500,    -0.018737
  3032.550,    -0.008151
  3032.600,    -0.012701
  3032.650,    -0.039806
  3032.700,    -0.081664
  3032.750,    -0.129245
  3032.800,    -0.175943
  3032.850,    -0.209525
  3032.900,    -0.226008
  3032.950,    -0.228043
  3033.000,    -0.214002
  3033.050,    -0.183747
  3033.100,    -0.147318
  3033.150,    -0.111661
  3033.201,    -0.076169
  3033.251,    -0.050444
  3033.301,    -0.029051
  3033.351,    -0.015889
  3033.401,    -0.010581
  3033.451,    -0.010076
  3033.501,    -0.010405
  3033.551,    -0.012815
  3033.601,    -0.011435
  3033.651,     0.001713
  3033.701,     0.017232
  3033.751,     0.038793
  3033.801,     0.058901
  3033.851,     0.076367
  3033.901,     0.097857
  3033.951,     0.115102
  3034.001,     0.126626
  3034.051,     0.131584
  3034.101,     0.129083
  3034.151,     0.120164
  3034.201,     0.111015
  3034.251,     0.087453
  3034.301,     0.058191
  3034.351,     0.025371
  3034.401,    -0.019518
  3034.451,    -0.079092
  3034.501,    -0.154999
  3034.551,    -0.252813
  3034.601,    -0.373092
  3034.651,    -0.525024
  3034.701,    -0.707869
  3034.751,    -0.937686
  3034.801,    -1.220794
  3034.851,    -1.569155
  3034.901,    -2.004107
  3034.951,    -2.545563
  3035.001,    -3.226951
  3035.051,    -4.079860
  3035.101,    -5.133357
  3035.151,    -6.431836
  3035.201,    -8.016942
  3035.251,    -9.923040
  3035.301,   -12.145539
  3035.351,   -14.611073
  3035.401,   -17.104928
  3035.451,   -19.196550
  3035.501,   -20.161050
  3035.551,   -18.986698
  3035.601,   -14.404273
  3035.651,    -5.173767
  3035.701,     9.508450
  3035.751,    29.400054
  3035.801,    52.706238
  3035.851,    75.854022
  3035.901,    93.901511
  3035.951,   101.697537
  3036.001,    95.575590
  3036.051,    74.854859
  3036.101,    42.450348
  3036.151,     4.175791
  3036.201,   -33.006166
  3036.251,   -62.982362
  3036.301,   -81.882133
  3036.351,   -88.529636
  3036.401,   -84.084036
  3036.451,   -71.255370
  3036.501,   -53.536836
  3036.551,   -34.519794
  3036.601,   -17.278815
  3036.651,    -3.894420
  3036.701,     4.724174
  3036.751,     8.722360
  3036.801,     8.937482
  3036.851,     6.590272
  3036.901,     3.070638
  3036.951,    -0.285909
  3037.001,    -2.420904
  3037.051,    -2.688623
  3037.101,    -0.931950
  3037.151,     2.587126
  3037.201,     7.254316
  3037.251,    12.207817
  3037.301,    16.516806
  3037.351,    19.376093
  3037.401,    20.225867
  3037.451,    18.836987
  3037.501,    15.373121
  3037.551,    10.425598
  3037.601,     4.881342
  3037.651,    -0.326296
  3037.701,    -4.472497
  3037.751,    -7.135738
  3037.801,    -8.235061
  3037.851,    -7.984633
  3037.901,    -6.774824
  3037.951,    -5.036657
  3038.001,    -3.144073
  3038.051,    -1.413246
  3038.101,    -0.088708
  3038.151,     0.690009
  3038.201,     0.905134
  3038.251,     0.700191
  3038.301,     0.316655
  3038.351,     0.018424
  3038.401,    -0.027388
  3038.451,     0.258367
  3038.501,     0.897212
  3038.551,     1.899787
  3038.601,     3.259392
  3038.651,     4.902205
  3038.701,     6.694622
  3038.751,     8.368498
  3038.801,     9.569001
  3038.851,     9.921170
  3038.901,     9.186492
  3038.951,     7.332810
  3039.001,     4.551656
  3039.051,     1.165288
  3039.101,    -2.425167
  3039.151,    -5.822769
  3039.201,    -8.669684
  3039.251,   -10.668365
  3039.301,   -11.642396
  3039.351,   -11.576382
  3039.401,   -10.671869
  3039.451,    -9.282099
  3039.501,    -7.843547
  3039.551,    -6.711809
  3039.601,    -6.030751
  3039.651,    -5.654103
  3039.701,    -5.250119
  3039.751,    -4.466326
  3039.801,    -3.078824
  3039.851,    -1.042691
  3039.901,     1.503550
  3039.951,     4.261695
  3040.001,     6.866523
  3040.051,     8.925852
  3040.101,    10.088531
  3040.151,    10.109646
  3040.201,     8.983474
  3040.251,     6.920559
  3040.301,     4.289968
  3040.351,     1.529713
  3040.401,    -0.942251
  3040.451,    -2.826425
  3040.501,    -3.954824
  3040.551,    -4.326013
  3040.601,    -4.057171
  3040.651,    -3.330028
  3040.701,    -2.331140
  3040.751,    -1.226979
  3040.801,    -0.153850
  3040.851,     0.769619
