Time_abs/ps, Signal/nA
  3025.000,     0.038812
  3025.050,     0.029463
  3025.100,     0.024770
  3025.150,     0.018555
  3025.200,     0.017221
  3025.250,     0.013885
  3025.300,     0.004188
  3025.350,     0.006294
  3025.400,     0.002889
  3025.450,    -0.003541
  3025.500,    -0.008545
  3025.550,    -0.010305
  3025.600,    -0.007455
  3025.650,    -0.009021
  3025.700,    -0.013633
  3025.750,    -0.014398
  3025.800,    -0.015279
  3025.850,    -0.018318
  3025.900,    -0.024353
  3025.950,    -0.031225
  3026.000,    -0.044230
  3026.050,    -0.058204
  3026.100,    -0.076792
  3026.150,    -0.105405
  3026.200,    -0.137335
  3026.250,    -0.170556
  3026.300,    -0.195861
  3026.350,    -0.213797
  3026.400,    -0.212567
  3026.450,    -0.176738
  3026.500,    -0.107467
  3026.550,    -0.015761
  3026.600,     0.096595
  3026.650,     0.209385
  3026.700,     0.299538
  3026.750,     0.338986
  3026.800,     0.324360
  3026.850,     0.258613
  3026.900,     0.156966
  3026.950,     0.044005
  3027.000,    -0.069857
  3027.050,    -0.171860
  3027.100,    -0.248680
  3027.150,    -0.298095
  3027.200,    -0.317377
  3027.250,    -0.306505
  3027.300,    -0.280948
  3027.350,    -0.247014
  3027.400,    -0.213457
  3027.450,    -0.185151
  3027.500,    -0.167006
  3027.550,    -0.163460
  3027.600,    -0.170209
  3027.650,    -0.186795
  3027.700,    -0.212914
  3027.750,    -0.236804
  3027.800,    -0.262231
  3027.850,    -0.281773
  3027.900,    -0.288510
  3027.950,    -0.283595
  3028.000,    -0.259518
  3028.050,    -0.214223
  3028.100,    -0.149808
  3028.150,    -0.072734
  3028.200,     0.006676
  3028.250,     0.073215
  3028.300,     0.118589
  3028.350,     0.125401
  3028.400,     0.087661
  3028.450,     0.016902
  3028.500,    -0.072146
  3028.550,    -0.158826
  3028.600,    -0.223149
  3028.650,    -0.259429
  3028.700,    -0.267273
  3028.750,    -0.260893
  3028.800,    -0.250395
  3028.850,    -0.241684
  3028.900,    -0.238273
  3028.950,    -0.240615
  3029.000,    -0.244530
  3029.050,    -0.248161
  3029.100,    -0.253427
  3029.150,    -0.256219
  3029.200,    -0.249533
  3029.250,    -0.238081
  3029.300,    -0.223798
  3029.350,    -0.207992
  3029.400,    -0.189757
  3029.450,    -0.169939
  3029.500,    -0.149644
  3029.550,    -0.133807
  3029.600,    -0.120520
  3029.650,    -0.112833
  3029.700,    -0.106950
  3029.750,    -0.103700
  3029.800,    -0.107596
  3029.850,    -0.120403
  3029.900,    -0.131145
  3029.950,    -0.135080
  3030.000,    -0.138028
  3030.050,    -0.134921
  3030.100,    -0.128139
  3030.150,    -0.120277
  3030.200,    -0.120051
