Time_abs/ps, Signal/nA
  3025.000,     0.039091
  3025.050,     0.037466
  3025.100,     0.031671
  3025.150,     0.026638
  3025.200,     0.019934
  3025.250,     0.015918
  3025.300,     0.012056
  3025.350,     0.006495
  3025.400,     0.003463
  3025.450,    -0.000745
  3025.500,    -0.004577
  3025.550,    -0.011918
  3025.600,    -0.014407
  3025.650,    -0.015387
  3025.700,    -0.016783
  3025.750,    -0.019858
  3025.800,    -0.021229
  3025.850,    -0.024513
  3025.900,    -0.030458
  3025.950,    -0.032855
  3026.000,    -0.032154
  3026.050,    -0.032848
  3026.100,    -0.033494
  3026.150,    -0.036202
  3026.200,    -0.039292
  3026.250,    -0.041704
  3026.300,    -0.040157
  3026.350,    -0.041307
  3026.400,    -0.043822
  3026.450,    -0.044449
  3026.500,    -0.046614
  3026.550,    -0.051022
  3026.600,    -0.055675
  3026.650,    -0.056511
  3026.700,    -0.059034
  3026.750,    -0.065709
  3026.800,    -0.072636
  3026.850,    -0.079007
  3026.900,    -0.081969
  3026.950,    -0.089670
  3027.000,    -0.098299
  3027.050,    -0.109757
  3027.100,    -0.121966
  3027.150,    -0.134584
  3027.200,    -0.151804
  3027.250,    -0.170324
  3027.300,    -0.186704
  3027.350,    -0.200312
  3027.400,    -0.207855
  3027.450,    -0.204539
  3027.500,    -0.182945
  3027.550,    -0.147605
  3027.600,    -0.103317
  3027.650,    -0.045182
  3027.700,     0.013195
  3027.750,     0.054430
  3027.800,     0.077091
  3027.850,     0.066031
  3027.900,     0.022854
  3027.950,    -0.035325
  3028.000,    -0.108054
  3028.050,    -0.180136
  3028.100,    -0.234710
  3028.150,    -0.269504
  3028.200,    -0.285707
  3028.250,    -0.284638
  3028.300,    -0.274713
  3028.350,    -0.254948
  3028.400,    -0.233532
  3028.450,    -0.214157
  3028.500,    -0.203404
  3028.550,    -0.198724
  3028.600,    -0.199264
  3028.650,    -0.203361
  3028.700,    -0.207968
  3028.750,    -0.215917
  3028.800,    -0.221941
  3028.850,    -0.228687
  3028.900,    -0.228134
  3028.950,    -0.221991
  3029.000,    -0.210001
  3029.050,    -0.187499
  3029.100,    -0.160185
  3029.150,    -0.125455
  3029.200,    -0.087431
  3029.250,    -0.049321
  3029.300,    -0.014801
  3029.350,     0.007620
  3029.400,     0.006785
  3029.450,    -0.014174
  3029.500,    -0.052846
  3029.550,    -0.102665
  3029.600,    -0.149662
  3029.650,    -0.187135
  3029.700,    -0.207362
  3029.750,    -0.214434
  3029.800,    -0.211360
  3029.850,    -0.193849
  3029.900,    -0.186279
  3029.950,    -0.188450
  3030.000,    -0.195502
  3030.050,    -0.213372
  3030.100,    -0.230836
  3030.150,    -0.241362
  3030.200,    -0.248593
  3030.250,    -0.244619
  3030.300,    -0.230548
  3030.350,    -0.216547
  3030.400,    -0.200690
  3030.450,    -0.178329
  3030.500,    -0.158877
  3030.550,    -0.142651
  3030.600,    -0.132947
  3030.650,    -0.120884
  3030.700,    -0.120510
  3030.750,    -0.127612
  3030.800,    -0.140807
  3030.850,    -0.159614
  3030.900,    -0.178814
  3030.950,    -0.196868
  3031.000,    -0.207193
  3031.050,    -0.212677
  3031.100,    -0.212756
  3031.150,    -0.202684
  3031.200,    -0.195096
  3031.250,    -0.188899
  3031.300,    -0.184135
  3031.350,    -0.183778
  3031.400,    -0.188455
  3031.450,    -0.205407
  3031.500,    -0.222845
  3031.550,    -0.234728
  3031.600,    -0.236815
  3031.650,    -0.238463
  3031.700,    -0.239639
  3031.750,    -0.235421
  3031.800,    -0.230222
  3031.850,    -0.223473
  3031.900,    -0.216179
  3031.950,    -0.209806
  3032.000,    -0.202501
  3032.050,    -0.193764
  3032.100,    -0.193475
  3032.150,    -0.189645
